Registro_HR;ID_Empleado;Fecha_de_Nacimiento;ID_Salida_Renuncia_a_fin_de_año;ID_Tipo_de_trabajo_por_viaje;ID_Área_de_trabajo;Distancia_del_hogar_al_trabajo_millas;ID Nivel_de_Educación;ID_Campo_Educativo;ID_Participación_en_el_trabajo;ID_Puesto;ID_Satisfacción_laboral;Salario_Mensual;N_de_empresas_en_las_que_trabajo;ID_Horas_extra;ID_Calificación_de_rendimiento;Total_de_años_de_trabajo;N_capacitaciones_que_recibió_el_año_pasado;ID_Balance_Vida_Trabajo;Fecha_de_contrato;Años_en_la_empresa;Años_en_el_puesto_actual;Años_desde_el_ultimo_ascenso;Años_con_el_gerente_actual
371;494;viernes, 23 de marzo de 2001;NO;VIAJA RARAMENTE;VENTAS;12;LICENCIATURA;CIENCIAS DE LA VIDA;MUY ALTA;REPRESENTATE DE VENTAS;MEDIA;2716;1;SI;EXCELENTE;1;0;MUY BUENO;viernes, 19 de marzo de 2021;1;0;0;0
382;508;domingo, 26 de enero de 1992;SI;VIAJA RARAMENTE;VENTAS;2;POR DEBAJO DE LA UNIVERSIDAD;TITULO TECNICO;ALTA;REPRESENTATE DE VENTAS;MEDIA;2476;1;SI;EXCELENTE;1;3;MUY BUENO;viernes, 14 de mayo de 2021;1;0;0;0
423;566;miércoles, 27 de agosto de 2003;NO;VIAJA RARAMENTE;RRHH;2;UNIVERSITARIO;TITULO TECNICO;MEDIA;RRHH;MUY ALTA;2564;1;SI;EXCELENTE;1;3;EXCELENTE;martes, 18 de mayo de 2021;1;0;0;0
425;568;viernes, 21 de mayo de 1965;NO;VIAJA RARAMENTE;VENTAS;29;LICENCIATURA;MARKETING;MEDIA;GERENTE DE EJECUTIVO DE VENTAS;MUY ALTA;14118;3;SI;EXCELENTE;32;3;BUENO;martes, 17 de agosto de 2021;1;0;0;0
432;578;sábado, 19 de octubre de 1968;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;8;MAESTRIA;CIENCIAS DE LA VIDA;ALTA;TECNICO DE LABORATORIO;ALTA;3780;7;SI;EXCELENTE;19;3;MUY BUENO;lunes, 18 de enero de 2021;1;0;0;0
464;622;jueves, 11 de enero de 1996;NO;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;24;LICENCIATURA;TITULO TECNICO;BAJA;TECNICO DE LABORATORIO;MUY ALTA;2340;1;NO;EXCELENTE;1;3;MALO;lunes, 7 de junio de 2021;1;0;0;0
472;634;jueves, 18 de octubre de 1984;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;10;LICENCIATURA;MEDICO;ALTA;REPRESENTANTE DE ATENCION MEDICA;ALTA;9824;3;SI;EXCELENTE;18;4;MUY BUENO;lunes, 17 de mayo de 2021;1;0;0;0
488;657;sábado, 9 de noviembre de 2002;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;1;LICENCIATURA;CIENCIAS DE LA VIDA;MEDIA;CIENTIFICO DE INVESTIGACION;MEDIA;2836;1;SI;EXCELENTE;1;0;EXCELENTE;viernes, 6 de agosto de 2021;1;0;0;0
490;661;miércoles, 9 de mayo de 1979;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;6;MAESTRIA;OTRO;MEDIA;DIRECTOR INVESTIGACION Y DESARROLLO;MUY ALTA;16627;4;NO;EXCELENTE;21;3;BUENO;domingo, 10 de octubre de 2021;1;0;0;0
523;715;domingo, 28 de abril de 1985;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;10;UNIVERSITARIO;CIENCIAS DE LA VIDA;MUY ALTA;CIENTIFICO DE INVESTIGACION;MUY ALTA;4680;3;SI;EXCELENTE;4;2;MUY BUENO;miércoles, 13 de octubre de 2021;1;0;0;0
543;743;viernes, 28 de septiembre de 1984;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;1;LICENCIATURA;CIENCIAS DE LA VIDA;ALTA;DIRECTOR DE MANUFACTURA;ALTA;7861;4;NO;EXCELENTE;10;4;EXCELENTE;martes, 21 de septiembre de 2021;1;0;0;0
547;749;viernes, 8 de octubre de 1993;SI;VIAJA RARAMENTE;VENTAS;10;LICENCIATURA;CIENCIAS DE LA VIDA;ALTA;REPRESENTATE DE VENTAS;ALTA;2642;1;SI;EXCELENTE;1;6;MUY BUENO;viernes, 14 de mayo de 2021;1;0;0;0
590;816;martes, 7 de septiembre de 1993;NO;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;1;UNIVERSITARIO;CIENCIAS DE LA VIDA;MEDIA;TECNICO DE LABORATORIO;BAJA;2319;1;NO;EXCELENTE;1;1;MUY BUENO;jueves, 2 de septiembre de 2021;1;0;0;0
604;834;jueves, 24 de noviembre de 1977;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;2;LICENCIATURA;CIENCIAS DE LA VIDA;MEDIA;CIENTIFICO DE INVESTIGACION;ALTA;2274;1;SI;EXCELENTE;1;3;MUY BUENO;viernes, 15 de enero de 2021;1;0;0;0
629;868;domingo, 4 de agosto de 1985;NO;VIAJA RARAMENTE;VENTAS;16;MAESTRIA;MARKETING;MEDIA;EJECUTIVO DE VENTAS;ALTA;6334;4;SI;EXCELENTE;9;2;MUY BUENO;jueves, 16 de diciembre de 2021;1;0;0;0
664;923;lunes, 5 de noviembre de 2001;NO;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;18;POR DEBAJO DE LA UNIVERSIDAD;OTRO;ALTA;CIENTIFICO DE INVESTIGACION;MUY ALTA;2693;1;SI;EXCELENTE;1;3;BUENO;viernes, 15 de enero de 2021;1;0;0;0
684;952;miércoles, 16 de abril de 1997;NO;VIAJA RARAMENTE;VENTAS;19;UNIVERSITARIO;MARKETING;MEDIA;REPRESENTATE DE VENTAS;MEDIA;2413;1;NO;EXCELENTE;1;2;MUY BUENO;domingo, 1 de agosto de 2021;1;0;0;0
685;954;martes, 25 de mayo de 1982;SI;VIAJA RARAMENTE;VENTAS;10;MAESTRIA;MARKETING;MEDIA;EJECUTIVO DE VENTAS;MEDIA;9705;2;SI;EXCELENTE;11;2;BUENO;lunes, 23 de agosto de 2021;1;0;0;0
689;959;sábado, 27 de diciembre de 2003;NO;VIAJA RARAMENTE;VENTAS;21;LICENCIATURA;OTRO;MEDIA;REPRESENTATE DE VENTAS;MEDIA;2121;1;NO;EXCELENTE;1;3;EXCELENTE;lunes, 2 de agosto de 2021;1;0;0;0
690;960;domingo, 10 de noviembre de 2002;NO;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;4;LICENCIATURA;TITULO TECNICO;ALTA;TECNICO DE LABORATORIO;BAJA;2973;1;SI;EXCELENTE;1;2;MUY BUENO;martes, 7 de septiembre de 2021;1;0;0;0
732;1016;lunes, 25 de febrero de 2002;NO;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;11;LICENCIATURA;MEDICO;MEDIA;CIENTIFICO DE INVESTIGACION;BAJA;2600;1;NO;EXCELENTE;1;2;MUY BUENO;jueves, 5 de agosto de 2021;1;0;0;0
742;1029;martes, 26 de agosto de 1980;SI;VIAJA RARAMENTE;VENTAS;5;UNIVERSITARIO;MARKETING;ALTA;GERENTE DE EJECUTIVO DE VENTAS;ALTA;18303;6;SI;EXCELENTE;21;3;EXCELENTE;domingo, 3 de octubre de 2021;1;0;0;0
743;1030;miércoles, 16 de agosto de 1972;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;9;LICENCIATURA;CIENCIAS DE LA VIDA;ALTA;TECNICO DE LABORATORIO;MUY ALTA;2380;4;SI;EXCELENTE;8;5;MUY BUENO;sábado, 4 de septiembre de 2021;1;0;0;0
745;1033;viernes, 19 de julio de 1985;NO;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;11;UNIVERSITARIO;MEDICO;BAJA;REPRESENTANTE DE ATENCION MEDICA;MEDIA;4777;5;SI;EXCELENTE;15;2;MALO;viernes, 25 de junio de 2021;1;0;0;0
748;1036;miércoles, 20 de junio de 1984;SI;VIAJA RARAMENTE;VENTAS;3;MAESTRIA;CIENCIAS DE LA VIDA;ALTA;EJECUTIVO DE VENTAS;MUY ALTA;6861;8;NO;EXCELENTE;19;1;MUY BUENO;lunes, 23 de agosto de 2021;1;0;0;0
762;1052;domingo, 12 de enero de 1986;NO;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;15;LICENCIATURA;OTRO;ALTA;TECNICO DE LABORATORIO;ALTA;4834;7;SI;EXCELENTE;9;3;BUENO;lunes, 15 de marzo de 2021;1;0;0;0
776;1076;lunes, 22 de enero de 1979;SI;VIAJA RARAMENTE;VENTAS;25;LICENCIATURA;MEDICO;MEDIA;EJECUTIVO DE VENTAS;MUY ALTA;10798;5;SI;EXCELENTE;18;5;MUY BUENO;martes, 24 de agosto de 2021;1;0;0;0
796;1105;martes, 22 de octubre de 1985;SI;VIAJA RARAMENTE;VENTAS;10;MAESTRIA;CIENCIAS DE LA VIDA;MEDIA;EJECUTIVO DE VENTAS;MUY ALTA;6694;2;NO;EXCELENTE;8;5;MUY BUENO;martes, 14 de septiembre de 2021;1;0;0;0
812;1125;jueves, 5 de enero de 1984;SI;VIAJA RARAMENTE;VENTAS;2;UNIVERSITARIO;MARKETING;ALTA;EJECUTIVO DE VENTAS;MEDIA;7351;7;SI;EXCELENTE;10;2;MUY BUENO;lunes, 13 de septiembre de 2021;1;0;0;0
825;1148;lunes, 11 de febrero de 1980;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;29;LICENCIATURA;MEDICO;BAJA;TECNICO DE LABORATORIO;MUY ALTA;4272;4;SI;EXCELENTE;16;3;MUY BUENO;sábado, 4 de septiembre de 2021;1;0;0;0
831;1158;lunes, 24 de agosto de 1981;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;12;MAESTRIA;CIENCIAS DE LA VIDA;ALTA;TECNICO DE LABORATORIO;MUY ALTA;4766;3;NO;EXCELENTE;6;4;MUY BUENO;sábado, 24 de abril de 2021;1;0;0;0
872;1219;miércoles, 11 de marzo de 1998;NO;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;17;UNIVERSITARIO;CIENCIAS DE LA VIDA;ALTA;TECNICO DE LABORATORIO;MEDIA;2210;1;SI;EXCELENTE;1;3;MALO;lunes, 6 de diciembre de 2021;1;0;0;0
900;1256;sábado, 13 de enero de 1973;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;4;UNIVERSITARIO;MEDICO;MEDIA;GERENTE INVESTIGACION Y DESARROLLO;ALTA;18711;2;SI;EXCELENTE;23;2;EXCELENTE;viernes, 5 de marzo de 2021;1;0;0;0
902;1258;domingo, 5 de mayo de 1974;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;2;UNIVERSITARIO;TITULO TECNICO;MUY ALTA;TECNICO DE LABORATORIO;MEDIA;2559;5;SI;EXCELENTE;7;4;BUENO;miércoles, 28 de abril de 2021;1;0;0;0
905;1263;viernes, 24 de mayo de 1974;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;1;LICENCIATURA;CIENCIAS DE LA VIDA;MEDIA;DIRECTOR INVESTIGACION Y DESARROLLO;MUY ALTA;18265;6;SI;EXCELENTE;25;3;EXCELENTE;martes, 14 de septiembre de 2021;1;0;0;0
907;1265;jueves, 8 de diciembre de 1988;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;20;LICENCIATURA;TITULO TECNICO;MUY ALTA;CIENTIFICO DE INVESTIGACION;ALTA;2585;0;SI;EXCELENTE;2;5;BUENO;domingo, 8 de agosto de 2021;1;0;0;0
926;1292;sábado, 10 de mayo de 1980;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;7;MAESTRIA;MEDICO;MUY ALTA;CIENTIFICO DE INVESTIGACION;MEDIA;2372;6;NO;EXCELENTE;18;2;MUY BUENO;lunes, 9 de agosto de 2021;1;0;0;0
971;1364;sábado, 11 de marzo de 1995;SI;VIAJA RARAMENTE;VENTAS;11;LICENCIATURA;MEDICO;MUY ALTA;REPRESENTATE DE VENTAS;MUY ALTA;2534;8;SI;EXCELENTE;5;4;MUY BUENO;miércoles, 27 de enero de 2021;1;0;0;0
1017;1433;domingo, 14 de abril de 1991;NO;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;8;LICENCIATURA;CIENCIAS DE LA VIDA;MEDIA;CIENTIFICO DE INVESTIGACION;MEDIA;1261;1;SI;EXCELENTE;1;3;EXCELENTE;martes, 10 de agosto de 2021;1;0;0;0
1060;1492;sábado, 3 de octubre de 1987;SI;VIAJA RARAMENTE;VENTAS;7;POR DEBAJO DE LA UNIVERSIDAD;CIENCIAS DE LA VIDA;ALTA;REPRESENTATE DE VENTAS;ALTA;2404;1;SI;EXCELENTE;1;3;MUY BUENO;domingo, 1 de agosto de 2021;1;0;0;0
1070;1506;lunes, 17 de octubre de 1994;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;1;LICENCIATURA;CIENCIAS DE LA VIDA;MEDIA;CIENTIFICO DE INVESTIGACION;ALTA;1563;1;SI;EXCELENTE;1;2;MALO;martes, 27 de abril de 2021;1;0;0;0
1089;1542;miércoles, 10 de septiembre de 1980;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;2;LICENCIATURA;MEDICO;MEDIA;TECNICO DE LABORATORIO;MEDIA;4841;4;SI;EXCELENTE;4;3;MUY BUENO;sábado, 27 de noviembre de 2021;1;0;0;0
1105;1558;miércoles, 25 de agosto de 1993;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;9;LICENCIATURA;CIENCIAS DE LA VIDA;MUY ALTA;CIENTIFICO DE INVESTIGACION;ALTA;2451;6;SI;EXCELENTE;5;2;BUENO;jueves, 12 de agosto de 2021;1;0;0;0
1111;1569;viernes, 17 de julio de 1987;NO;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;2;LICENCIATURA;CIENCIAS DE LA VIDA;ALTA;TECNICO DE LABORATORIO;BAJA;2074;1;NO;EXCELENTE;1;2;MUY BUENO;lunes, 18 de enero de 2021;1;0;0;0
1116;1577;lunes, 13 de junio de 1988;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;7;MAESTRIA;MEDICO;ALTA;CIENTIFICO DE INVESTIGACION;MUY ALTA;2972;1;SI;EXCELENTE;1;4;MALO;martes, 27 de abril de 2021;1;0;0;0
1122;1585;lunes, 26 de mayo de 1986;SI;VIAJA RARAMENTE;VENTAS;1;MAESTRIA;CIENCIAS DE LA VIDA;ALTA;EJECUTIVO DE VENTAS;ALTA;6815;6;SI;EXCELENTE;15;5;MUY BUENO;martes, 14 de septiembre de 2021;1;0;0;0
1127;1591;jueves, 17 de febrero de 1972;SI;VIAJA RARAMENTE;VENTAS;9;LICENCIATURA;MARKETING;ALTA;GERENTE DE EJECUTIVO DE VENTAS;ALTA;19331;4;NO;EXCELENTE;27;2;MUY BUENO;miércoles, 15 de diciembre de 2021;1;0;0;0
1206;1692;sábado, 13 de enero de 1990;NO;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;2;MAESTRIA;CIENCIAS DE LA VIDA;ALTA;TECNICO DE LABORATORIO;MEDIA;1393;1;SI;EXCELENTE;1;2;MUY BUENO;sábado, 11 de septiembre de 2021;1;0;0;0
1223;1714;domingo, 5 de julio de 1998;NO;VIAJA RARAMENTE;RRHH;22;POR DEBAJO DE LA UNIVERSIDAD;RRHH;BAJA;RRHH;ALTA;1555;1;SI;EXCELENTE;1;2;MUY BUENO;miércoles, 15 de diciembre de 2021;1;0;0;0
1230;1724;lunes, 1 de febrero de 1982;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;8;UNIVERSITARIO;CIENCIAS DE LA VIDA;ALTA;DIRECTOR DE MANUFACTURA;BAJA;6516;2;NO;EXCELENTE;18;3;MUY BUENO;martes, 5 de enero de 2021;1;0;0;0
1258;1761;jueves, 28 de noviembre de 1991;NO;VIAJA RARAMENTE;VENTAS;16;MAESTRIA;MARKETING;ALTA;EJECUTIVO DE VENTAS;ALTA;8161;2;SI;EXCELENTE;10;2;MUY BUENO;domingo, 2 de mayo de 2021;1;0;0;0
1259;1762;viernes, 30 de abril de 1993;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;4;LICENCIATURA;TITULO TECNICO;MEDIA;CIENTIFICO DE INVESTIGACION;BAJA;2109;1;SI;EXCELENTE;1;2;MUY BUENO;lunes, 26 de abril de 2021;1;0;0;0
1265;1770;miércoles, 7 de junio de 1967;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;2;LICENCIATURA;MEDICO;MEDIA;DIRECTOR INVESTIGACION Y DESARROLLO;BAJA;19038;8;SI;EXCELENTE;34;2;MUY BUENO;martes, 16 de marzo de 2021;1;0;0;0
1274;1783;domingo, 16 de julio de 2000;NO;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;8;POR DEBAJO DE LA UNIVERSIDAD;MEDICO;ALTA;TECNICO DE LABORATORIO;BAJA;2398;1;NO;EXCELENTE;1;6;MUY BUENO;domingo, 6 de junio de 2021;1;0;0;0
1313;1842;miércoles, 21 de agosto de 1991;NO;VIAJA RARAMENTE;RRHH;18;DOCTORADO;RRHH;MUY ALTA;RRHH;BAJA;2956;0;SI;EXCELENTE;2;4;MUY BUENO;sábado, 9 de enero de 2021;1;0;0;0
1330;1865;jueves, 28 de octubre de 1993;SI;VIAJA RARAMENTE;RRHH;6;POR DEBAJO DE LA UNIVERSIDAD;MEDICO;MEDIA;RRHH;MEDIA;2804;1;SI;EXCELENTE;1;3;MUY BUENO;miércoles, 24 de noviembre de 2021;1;0;0;0
1338;1875;miércoles, 30 de noviembre de 1994;SI;VIAJA RARAMENTE;VENTAS;3;LICENCIATURA;MEDICO;ALTA;REPRESENTATE DE VENTAS;MEDIA;2856;1;SI;EXCELENTE;1;3;MUY BUENO;jueves, 28 de enero de 2021;1;0;0;0
1339;1876;martes, 25 de agosto de 1992;NO;VIAJA RARAMENTE;VENTAS;9;LICENCIATURA;MEDICO;ALTA;REPRESENTATE DE VENTAS;MUY ALTA;1081;1;SI;EXCELENTE;1;3;BUENO;jueves, 28 de enero de 2021;1;0;0;0
1375;1938;sábado, 20 de junio de 1964;SI;VIAJA RARAMENTE;VENTAS;21;LICENCIATURA;CIENCIAS DE LA VIDA;ALTA;GERENTE DE EJECUTIVO DE VENTAS;MUY ALTA;17875;4;NO;EXCELENTE;29;2;BUENO;lunes, 19 de julio de 2021;1;0;0;0
1392;1961;miércoles, 25 de abril de 1984;SI;VIAJA RARAMENTE;VENTAS;1;LICENCIATURA;CIENCIAS DE LA VIDA;MEDIA;REPRESENTATE DE VENTAS;BAJA;2858;4;SI;EXCELENTE;20;3;BUENO;lunes, 2 de agosto de 2021;1;0;0;0
1403;1974;martes, 10 de septiembre de 1991;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;2;POR DEBAJO DE LA UNIVERSIDAD;MEDICO;BAJA;TECNICO DE LABORATORIO;MUY ALTA;1129;1;NO;EXCELENTE;1;4;MUY BUENO;martes, 27 de abril de 2021;1;0;0;0
1428;2012;domingo, 14 de febrero de 1982;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;1;MAESTRIA;CIENCIAS DE LA VIDA;ALTA;TECNICO DE LABORATORIO;MUY ALTA;2406;8;SI;EXCELENTE;8;3;BUENO;domingo, 4 de abril de 2021;1;0;0;0
7;10;viernes, 6 de diciembre de 1963;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;3;LICENCIATURA;MEDICO;MUY ALTA;TECNICO DE LABORATORIO;BAJA;2670;4;NO;SOBRESALIENTE;12;3;BUENO;sábado, 11 de septiembre de 2021;1;0;0;0
